image_path,model_label,type_label
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1025794.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1340192.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0056978.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0698580.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0450014.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1042824.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0894380.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1427680.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0817494.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0716386.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0951982.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0731614.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0582363.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1082409.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/2031775.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0950991.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0869722.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0979376.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1002439.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0864665.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1207591.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0582372.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0729223.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1319365.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0548719.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0577855.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1423583.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1187431.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0610657.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0869742.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0687610.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1042021.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0482761.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0064933.jpg,707-320,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1019011.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0732456.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0218039.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/2223757.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0983618.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1327285.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0065840.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0980196.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0995286.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1514487.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0213505.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1459191.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1063986.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0056337.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0409532.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0771164.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0632010.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0901504.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0063052.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0143080.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1089989.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0907359.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0875281.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1197395.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1149060.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1059846.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0786258.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1512865.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0523223.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1115308.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1739565.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0994986.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0193983.jpg,727-200,0
dataset/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0822348.jpg,737-200,0
